principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
shovel	<u><b>shovel</b></u>:pá. <u><b>to shovel</b></u>:trabalhar com pá.	1. a tool used for digging that has a long handle and a wide, flat metal part at one end.			(3)pá	(1260)pá	pá	pá	pá						spade,dig,digging tool																													[sound:7001-8000/howjsay/7001-8000-howjsay-shovel.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-shovel.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-shovel.mp3]					ʃʌvl	ˈʃʌv əl					"<span class=""ipa dipa"">ˈʃʌv·əl</span>"																	
shocking	<u><b>shocking</b></u>:chocante,lamentável.	1. very bad and making you feel upset.			(3)chocante	(1539)chocante	chocante	chocante	chocante,de modo chocante						outrageous; very surprising																													[sound:7001-8000/howjsay/7001-8000-howjsay-shocking.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-shocking.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-shocking.mp3]					ˈʃɒkɪŋ,ʃɒk	ˈʃɒk ɪŋ					"<span class=""ipa dipa"">ˈʃɑ·kɪŋ</span>"																	
resistance	<u><b>resistance</b></u>:resistência.	1. the act of disagreeing with a plan or idea and refusing to accept it.			(3)resistência	(20095)resistência		,resistência	resistência						fighting, opposition																																												[sound:7001-8000/howjsay/7001-8000-howjsay-resistance.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-resistance.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-resistance.mp3]					rɪˈzɪstəns	rɪˈzɪs təns					"<span class=""ipa dipa"">rɪˈzɪs·təns</span>"		
puff	<u><b>puff</b></u>:sopro,baforada,tufo,almofadão,massa de pastel. <u><b>to puff</b></u>:soprar. <u><b>to puff</b></u>:pitar.	1. to breathe fast and with difficulty, usually because you have been running. <BR>2. a small amount of smoke, gas, powder, etc.			(3)soprar,(3)sopro		soprar,sopro	,tragada	ofegar,tragada						blast of air,advertisement,inhale or exhale air,publicize																													[sound:7001-8000/howjsay/7001-8000-howjsay-puff.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-puff.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-puff.mp3]					pʌf	pʌf					"<span class=""ipa dipa"">pʌf</span>"																	
locking					trancando	(459)bloqueio	bloqueio,travamento	,travamento							device that fastens and bars free passage,fasten, clasp																													[sound:7001-8000/howjsay/7001-8000-howjsay-locking.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-locking.mp3]						lɒk,ˈlɒkɪŋ	lɒk																						
childish	<u><b>childish</b></u>:infantil.	1. silly, like the behaviour of a child.			(3)infantil	(1015)infantil	imaturo,infantil	infantil	infantil,imaturo,imaturamente,como criança						immature, silly																													[sound:7001-8000/howjsay/7001-8000-howjsay-childish.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-childish.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-childish.mp3]					ˈʧaɪldɪʃ	ˈtʃaɪl dɪʃ					"<span class=""ipa dipa"">ˈtʃɑɪl·dɪʃ</span>"																	
brace	<u><b>brace</b></u>:chave,conjunto,suporte,correia,cinta,braçadeira. <u><b>to brace</b></u>:ficar pronto.	1. a wire object that some children wear to make their teeth straight.			(2)suporte,(2)escora,(2)braçadeira	(52)cinta,(32)suporte,(51)aparelho,(119)preparar	cinta,aparelho	cinta	aparelho ortodôntico						support																													[sound:7001-8000/howjsay/7001-8000-howjsay-brace.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-brace.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-brace.mp3]					breɪs	breɪs					"<span class=""ipa dipa"">breɪs</span>"																	
blunt	<u><b>blunt</b></u>:cego,estúpido,obtuso,embotado,contundente. <u><b>to blunt</b></u>:amortecer,cegar,despontar,enervar,embotar.	1. not sharp. <BR>2. saying exactly what you think without caring if you upset people.			(2)embotar,(2)brusco,(2)atenuar,contundente		embotar,·brusco,contundente	,sem corte,·brusco	sem corte,cego,brusco,ríspido,aspereza,rispidez						not sharp,straightforward,make dull						"<b>""A delicate matter and yet I must be <font color=""#ff0000"">blunt</font>.""</b><br><i>""É um assunto delicado, mas devo ser <font color=""#ff0000"">direto</font>.""</i><br><br><b>""Mr. President Forgive me for being <font color=""#ff0000"">blunt</font>.""</b><br><i>""Sr. Presidente, perdoe-me por ser <font color=""#ff0000"">brusco</font>.""</i><br><br><b>""Consistent with a round, <font color=""#ff0000"">blunt</font> object.""</b><br><i>""Consistente com um objecto redondo e <font color=""#ff0000"">rombo</font>.""</i><br><br><b>""Brusok and oselok. It is impossible to work as a <font color=""#ff0000"">blunt</font> tool.""</b><br><i>""Barra e oselok. e e impossível trabalhar como instrumento <font color=""#ff0000"">cego</font>.""</i><br><br><b>""To be <font color=""#ff0000"">blunt</font>, Then I'll find a writer who can.""</b><br><i>""Para ser <font color=""#ff0000"">directo</font>, então encontro um escritor que consiga.""</i><br>"		"<b>""The knife was too <font color=""#ff0000"">blunt</font> to cut the rope.""</b><br><i>""A faca estava cega demais para cortar a corda.""</i> <i><u><font color=""#aa4444"">cego</font></u></i> <br><br><b>""<font color=""#ff0000"">Blunt</font> people say what they think.""</b><br><i>""Pessoas francas falam o que pensam.""</i> <i><u><font color=""#aa4444"">franco</font></u></i> <br>"																			"<b>""<font color=""#ff0000"">blunt</font> instrument.""</b><br><i>""instrumento grosseiro.""</i> <br>"		[sound:7001-8000/howjsay/7001-8000-howjsay-blunt.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-blunt.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-blunt.mp3]					blʌnt	blʌnt					"<span class=""ipa dipa"">blʌnt</span>"																	
utterly	<u><b>utterly</b></u>:absolutamente,perfeitamente.	1. completely.			totalmente,(3)completamente	(369)absolutamente,(833)totalmente,(518)completamente	absolutamente,totalmente,completamente		completamente,totalmente	<b>utterly</b>  completamente					completely																													[sound:7001-8000/howjsay/7001-8000-howjsay-utterly.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-utterly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-utterly.mp3]					ˈʌtəlɪ	ˈʌt ər li					"<span class=""ipa dipa"">ˈʌt̬·ər·li</span>"																	
ticked			"06.  To mark or check off <font color=""#00aaff""><u>(a listed item)</font></u> with a tick."		marcado	(24)assinalada,(9)chateada,(10)irritada,(15)irritado	assinalada								clicking sound; one beat,checkmark,click																													[sound:7001-8000/howjsay/7001-8000-howjsay-ticked.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-ticked.mp3]					(tɪkt)	tɪk	tɪk																						
stunned	<u><b>stunned</b></u>:chocado,assombrado,assombrada,abananado.	1. very shocked or surprised.			(2)aturdido,atordoado	(217)atordoado	atordoado,·surpresos	atordoado,·surpresos	atordoado,atônito						dazed																													[sound:7001-8000/howjsay/7001-8000-howjsay-stunned.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-stunned.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-usb01640.mp3]					stʌn,stʌnd	stʌn					"<span class=""ipa dipa"">stʌnd</span>"																	
sadly	<u><b>sadly</b></u>:infelizmente,lamentavelmente,tristemente.	1. in a sad way. <BR>2. used to say that you are sorry something is true.			infelizmente	(2730)infelizmente	tristemente,infelizmente		tristemente,infelizmente						unhappily																													[sound:7001-8000/howjsay/7001-8000-howjsay-sadly.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-sadly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-sadly.mp3]					ˈsædlɪ	sæd					"<span class=""ipa dipa"">ˈsæd·li</span>"																	
noted	<u><b>noted</b></u>:conhecido,notado,famoso,célebre.	1. known by many people, especially because of particular qualities.			(3)notável	(956)notou,(1031)note-se,(632)observado,(1931)observou	·conhecido,·anotado,observado,observou	·conhecido,·anotado,observado	famoso,conhecido						famous, eminent																													[sound:7001-8000/howjsay/7001-8000-howjsay-noted.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-noted.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-noted.mp3]					nəʊt,ˈnəʊtɪd,nəʊts	ˈnoʊ tɪd					"<span class=""ipa dipa"">ˈnoʊ.t̬ɪd</span>"																	
jerks					idiotas,(3)idiota,(3)empurrar,(3)empurrão	(354)idiotas	idiota,empurrar,empurrão								a lurching move,stupid, bumbling person,foolish person,move with lurch																													[sound:7001-8000/howjsay/7001-8000-howjsay-jerks.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-jerks.mp3]					(dʒɜrk)	ʤɜːk	dʒɜrk																						
hitch	<u><b>hitch</b></u>:badagaio,busílis,engate,problema,nó. <u><b>to hitch</b></u>:amarrar,atar.	1. a temporary difficulty that causes a short delay. <BR>2. to get a free ride in someone else’s vehicle as a way of travelling. <BR>3. to fasten something to another thing by tying it with a rope or using a metal hook.	"04.  <font color=""#00aaff""><u>Informal </font></u>To get <font color=""#00aaff""><u>(a ride)</font></u> by hitchhiking.<BR>07.  To harness <font color=""#00aaff""><u>(an animal)</font></u> to a vehicle <font color=""#00aaff""><u>(often fol. by up)</font></u>.<BR>10.  To raise with jerks <font color=""#00aaff""><u>(usu. fol. by up)</font></u>; hike up."		pegar,(2)puxão,(2)dificuldade,(2)nó	(72)problema,(136)engatar	atrelar,engate,·contratempo,engatar	engate,·contratempo	imprevisto,pegar uma carona,amarrar,atrelar						problem, difficulty,join, fasten																													[sound:7001-8000/howjsay/7001-8000-howjsay-hitch.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-hitch.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-hitch.mp3]				(hɪtʃ)	hɪʧ	hɪtʃ																						
flirt	<u><b>flirt</b></u>:namoro,flerte,meneio. <u><b>to flirt</b></u>:namorar,paquerar,flertar.	1. to behave as if you are sexually attracted to someone.			flerte,(3)flertar	(356)flertar	namoro	flerte,flertar,namoro	paquerar						person who makes advances,make advances toward someone																													[sound:7001-8000/howjsay/7001-8000-howjsay-flirt.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-flirt.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-flirt.mp3]					flɜːt	flɜrt					"<span class=""ipa dipa"">flɜrt</span>"																	
fare	<u><b>fare</b></u>:passagem,cardápio,frete,carreto. <u><b>to fare</b></u>:comer bem,passar bem.	1. the price that you pay to travel on a plane, train, bus, etc.			(3)tarifa	(730)tarifa	tarifa	tarifa	tarifa,preço de passagem,passagem						amount charged for transportation,food served at meals,get along; turn out																													[sound:7001-8000/howjsay/7001-8000-howjsay-fare.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-fare.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-fair.mp3]					feə	fɛər					"<span class=""ipa dipa"">feər</span>"																	
establishment	<u><b>establishment</b></u>:estabelecimento,governo,organização,instituição,instauração.	1. an organization or business. <BR>2. the process of starting an organization, school, business, etc.			(3)estabelecimento	(10598)estabelecimento	estabelecimento,·criação	estabelecimento,·criação	estabelecimento,fundação,criação						organization; creation,business, institution,ruling class; bureaucracy																													[sound:7001-8000/howjsay/7001-8000-howjsay-establishment.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-establishment.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-establishment.mp3]					ɪsˈtæblɪʃmənt	ɪˈstæb lɪʃ mənt					"<span class=""ipa dipa"">ɪˈstæb·lɪʃ·mənt</span>"																	
dismiss	<u><b>to dismiss</b></u>:demitir,despedir,destituir,exonerar.	1. to officially make someone leave their job. <BR>2. to give someone official permission to leave.			(3)demitir,(3)destituir,dispensar	(126)descartar,(188)demitir,(167)dispensar,(86)despedir	·rejeitar,descartar,demitir,destituir,dispensar,despedir	demitir,·rejeitar	despedir,dispensar						send away, remove; free,remove from job, responsibility,put out of one's mind																													[sound:7001-8000/howjsay/7001-8000-howjsay-dismiss.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-dismiss.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-dismiss.mp3]					dɪsˈmɪs	dɪsˈmɪs					"<span class=""ipa dipa"">dɪsˈmɪs</span>"																	
christening	<u><b>christening</b></u>:batismo.	1. a ceremony in which a baby is given a name and made a member of the Christian Church.			(3)batismo	(72)baptizado,(102)batismo,(104)batizado	baptizado	batismo	batizado						named in religious rite																													[sound:7001-8000/howjsay/7001-8000-howjsay-christening.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-christening.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-christening.mp3]				(ˈkrɪs ə nɪŋ, ˈkrɪs nɪŋ)	ˈkrɪsnɪŋ	ˈkrɪs ə nɪŋ, ˈkrɪs nɪŋ					"<span class=""ipa dipa"">ˈkrɪs·ə·nɪŋ</span>"																	
casket	<u><b>casket</b></u>:caixão fúnebre,cofre pequeno,caixa de jóias	1. a box in which a dead body is buried or cremated.			(3)caixão,(3)urna	(834)caixão	caixão,urna	caixão	caixão,ataúde	<b>casket</b>  <b>1.</b>  caixinha <b>2.</b> <b> American</b> caixão					burial box																													[sound:7001-8000/howjsay/7001-8000-howjsay-casket.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-casket.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-casket.mp3]				(ˈkæs kɪt, ˈkɑ skɪt)	ˈkɑːskɪt	ˈkæs kɪt, ˈkɑ skɪt					"<span class=""ipa dipa"">ˈkæs·kɪt</span>"																	
broker	<u><b>broker</b></u>:corretor,corretor de seguros.	1. a person who buys and sells foreign money, shares in companies, etc., for other people.	"01.  <font color=""#00aaff""><u>(Stock Exchange)</font></u> <font color=""#00aaff""><u>(formerly)</font></u> short for stockbroker.<BR>02.  <font color=""#00aaff""><u>(Professions)</font></u> a dealer in second-hand goods.<BR>"		(3)corretor	(765)corretor	·agente,corretor,·mediação	·agente,corretor,·mediação	corretor da bolsa	<b>broker</b> &nbsp;corretor					financial expert																													[sound:7001-8000/howjsay/7001-8000-howjsay-broker.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-broker.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-broker.mp3]				(ˈbroʊ kər)	ˈbrəʊkə	ˈbroʊ kər					"<span class=""ipa dipa"">ˈbroʊ.kɚ</span>"																	
breakup	<u><b>breakup</b></u>:separação				rompimento	(217)rompimento,(112)término,(421)separação,(98)dissolução	rompimento,separação,dissolução	,dissolução			"<div>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  separação;  rutura<BR>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  (sociedade) dissolução;  desmembramento<BR>3. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  encerramento;  término<BR>4. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  desmantelamento</div>"				end of relationship																													[sound:7001-8000/howjsay/7001-8000-howjsay-breakup.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-breakup.mp3]					(ˈbreɪkˌʌp)	ˈbreɪkʌp	ˈbreɪkˌʌp						ˈbreɪkʌp																
abducted	<u><b>abducted</b></u>:sequestrado,raptado,abduzido. <u><b>abducted</b></u>:sequestrado.				sequestrado	(222)raptou,(131)abduzido,(815)raptado,(430)sequestrado	sequestrado	,raptado							taken away by force																													[sound:7001-8000/howjsay/7001-8000-howjsay-abducted.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-abducted.mp3]						æbˈdʌktɪd,æbˈdʌkt	æbˈdʌkt																						
witchcraft	<u><b>witchcraft</b></u>:feitiçaria,bruxaria,magia,feitiço,mandinga,malefício	1. the activity of performing magic to help or harm other people.			(3)feitiçaria,(3)bruxaria	(781)bruxaria	feitiçaria,bruxaria	bruxaria	bruxaria						spell-casting, magic																													[sound:7001-8000/howjsay/7001-8000-howjsay-witchcraft.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-witchcraft.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-uswisec006.mp3]					ˈwɪʧkrɑːft	ˈwɪtʃˌkræft, -ˌkrɑft					"<span class=""ipa dipa"">-kræft</span>"																	
traded					negociado	(203)trocado,(207)troquei,(361)negociado,(321)trocou	comercializado,·negociada	,·negociada,comercializado							exchanged,replaced,switch, exchange,sell goods,sell door to door,exchange, alternate; equal,contribute,exchange an object for money,negotiate terms of sale or agreement,trade goods or services,change,buy and sell; do business,buy and sell,sell,substitute, replace,make a deal,do business,bargain; argue about,carry as merchandise																													[sound:7001-8000/howjsay/7001-8000-howjsay-traded.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-traded.mp3]						treɪdz,treɪd	treɪd																						
titan		1. a person who is very important, powerful, strong, big, clever, etc.			(3)titã		titã	,titã	titã						giant																																												[sound:7001-8000/howjsay/7001-8000-howjsay-titan.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-titan.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-tighten.mp3]					ˈtaɪt(ə)n	ˈtaɪt n					"<span class=""ipa dipa"">ˈtaɪ.t<span class=""sp dsp"">ə</span>n</span>"		
thread	<u><b>thread</b></u>:fio,linha,trama,enredo,filamento,fiapo,meandro,barbante. <u><b>to thread</b></u>:enfiar.	1. a long, thin piece of cotton, wool, etc. that is used for sewing. <BR>2. to put something long and thin such as string or thread through a narrow hole or into a small space.			(3)linha,(3)fio	(1559)fio	·linhas,rosca,enfiar,fio,·linha,rosqueadas,·tópico	·linhas,rosca,enfiar,fio,·linha,·tópico,rosqueadas	linha,fio,colocar o fio em,enfiar						a fine strand of twisted fibers,fiber																													[sound:7001-8000/howjsay/7001-8000-howjsay-thread.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-thread.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-thread.mp3]					θred	θrɛd					"<span class=""ipa dipa"">θred</span>"																	
spelling	<u><b>spelling</b></u>:ortografia.	1. the letters that are used to write a word. <BR>2. someone’s ability to spell words.			(3)soletração,(3)grafia,(3)ortografia	(621)ortografia	soletração,ortografia,·grafia,·soletração	ortografia,·grafia,·soletração	grafia,ortografia						orthography																													[sound:7001-8000/howjsay/7001-8000-howjsay-spelling.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-spelling.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-spelling.mp3]					ˈspelɪŋ,spel	ˈspɛl ɪŋ					"<span class=""ipa dipa"">ˈspel·ɪŋ</span>"																	
smelly	<u><b>smelly</b></u>:fedorento,fétido.	1. having a bad smell.			(3)sos	(167)fedorento,(122)malcheiroso,(75)fedido	fedorento,malcheiroso		malcheiroso,fedorento	<b>smelly</b>  fedorento					having a bad odor																													[sound:7001-8000/howjsay/7001-8000-howjsay-smelly.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-smelly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-smelly.mp3]				(ˈsmɛl i)	ˈsmelɪ	ˈsmɛl i					"<span class=""ipa dipa"">ˈsmel·i</span>"																	
remaining		1. continuing to exist when everything or everyone else has gone or been done.			(3)remanescente	(2367)restante	remanescente,restante	restante	restante						staying,surplus																													[sound:7001-8000/howjsay/7001-8000-howjsay-remaining.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-remaining.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-remaining.mp3]					rɪˈmeɪn,rɪˈmeɪnɪŋ	rɪˈmeɪn					"<span class=""ipa dipa"">rɪˈmeɪ·nɪŋ</span>"																	
punching			"07.  To depress <font color=""#00aaff""><u>(the accelerator of a car)</font></u> forcefully.<BR>09.  To make a hole in <font color=""#00aaff""><u>(something)</font></u>, as by using a punch."		soco	(144)perfuração	perfuração	,perfuração							hit,energy, vigor,perforate, prick																													[sound:7001-8000/howjsay/7001-8000-howjsay-punching.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-punching.mp3]						ˈpʌnʧɪŋ,pʌnʧ	pʌntʃ																						
diaper	<u><b>diaper</b></u>:fralda.	1. a thick piece of paper or cloth worn by a baby on its bottom.			(3)tecido,(3)fralda	(835)fralda	fralda	fralda	fralda						carve letters or designs into																													[sound:7001-8000/howjsay/7001-8000-howjsay-diaper.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-diaper.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-diaper.mp3]				(ˈdaɪ pər, ˈdaɪ ə pər)	ˈdaɪəpə	ˈdaɪ pər, ˈdaɪ ə pər					"<span class=""ipa dipa"">ˈdɑɪ·pər</span>"																	
deceased	<u><b>deceased</b></u>:finado. <u><b>deceased</b></u>:finado.	1. dead.			(3)morto,(3)falecido	(1637)falecido	defunto,·morto,falecido	defunto,·morto,falecido	falecido	<b>deceased</b>  falecido <b>the deceased</b>  falecido					dead																													[sound:7001-8000/howjsay/7001-8000-howjsay-deceased.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-deceased.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-deceased.mp3]				(dɪˈsist)	dɪˈsiːst	dɪˈsist					"<span class=""ipa dipa"">dɪˈsɪst</span>"																	
choking	<u><b>choking</b></u>:engasgo,abafação,abafadura.				(2)asfixiante,asfixia	(60)engasgado,(83)sufocando,(113)a sufocar,(133)asfixia	engasgado,asfixiante	,asfixia							smother, block																													[sound:7001-8000/howjsay/7001-8000-howjsay-choking.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-choking.mp3]					(ˈtʃoʊ kɪŋ)	ʧəʊk	ˈtʃoʊ kɪŋ																						
charms	<u><b>charms</b></u>:encantos.				encantos	(709)encantos	encantos	,encantos							enchantment, allure,talisman,enchant																													[sound:7001-8000/howjsay/7001-8000-howjsay-charms.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-charms.mp3]					(tʃɑrm)	ʧɑːm,ʧɑːmz	tʃɑrm																						
buns					pãezinhos	(165)pães									baked roll																													[sound:7001-8000/howjsay/7001-8000-howjsay-buns.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-buns.mp3]						bʌn,bʌnz	bʌn																						
bummed					(1)zumbir,(1)não fazer nada,chateado,(1)beber muito	(133)chateado					"<div>1. <font color=""#c7c7c7""><i><u><b> coloquial</b></u></i></font>  triste, melancólico<BR>2. <font color=""#c7c7c7""><i><u><b> coloquial</b></u></i></font>  chateado</div>"				terrible, very bad,sick,be idle, lazy,lay sprawled,lie about, waste time,request,cadge,beg,bother, annoy,wander about, forage for,plead for; try to sell,mooch,seek charity,travel,take for temporary use,take advantage,idle,annoy,buzz, vibrate																													[sound:7001-8000/howjsay/7001-8000-howjsay-bummed.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-bummed.mp3]					(bʌm)	bʌm	bʌm		bʌmd				bʌmd																
accounting	<u><b>accounting</b></u>:contabilidade,escrituração. <u><b>accounting</b></u>:contábil.				(3)contabilidade	(4546)contabilidade	·contabilização,contabilidade	,contabilidade,·contabilização							keeping financial accounts																													[sound:7001-8000/howjsay/7001-8000-howjsay-accounting.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-accounting.mp3]					(əˈkaʊn tɪŋ)	əˈkaʊntɪŋ,əˈkaʊnt	əˈkaʊn tɪŋ																						
shred	<u><b>shred</b></u>:pedaço,tira,farrapo,bandalho. <u><b>to shred</b></u>:despedaçar,retalhar,esfarrapar.	1. a very small piece that has been torn from something. <BR>2. to tear or cut something into small, thin pieces.			(2)esfrangalhar,(2)retalhar,(2)desfiar,destruir	(32)fragmento,(68)pingo,(35)rasgar,(37)destruir	rasgar,·fragmento,retalhar,picar,destruir,desfiar	·fragmento,pingo	tira,picar,cortar em tiras ou pedaços	<b>shred</b>   farrapo					tiny piece,cut into ribbons																													[sound:7001-8000/howjsay/7001-8000-howjsay-shred.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-shred.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-shred.mp3]				(ʃrɛd)	ʃred	ʃrɛd					"<span class=""ipa dipa"">ʃred</span>"																	
saves			"01.  <font color=""#00aaff""><u>(Theology)</font></u> <font color=""#00aaff""><u>(tr)</font></u> to deliver from sin; redeem."		economizar	(1659)salva	economizar,salva								rescue,economize; set money aside for later use,guard, protect																													[sound:7001-8000/howjsay/7001-8000-howjsay-saves.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-saves.mp3]					(seɪv)	seɪv	seɪv																						
saddle	<u><b>saddle</b></u>:sela,arreio. <u><b>to saddle</b></u>:selar,incumbir-se.	1. a leather seat that you put on a horse so that you can ride it. <BR>2. a seat on a bicycle or motorcycle. <BR>3. to put a saddle on a horse.			(3)sela,(3)selim,(3)selar	(1017)sela	sela,selar,·selim	sela,·selim	sela,selim,banco,selar	<b>saddle</b>  selim  <b>negative</b> <b>unsaddle</b> selar					seat on horse																													[sound:7001-8000/howjsay/7001-8000-howjsay-saddle.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-saddle.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-saddle.mp3]				(ˈsæd l)	sædl	ˈsæd l					"<span class=""ipa dipa"">ˈsæd·<span class=""sp dsp"">ə</span>l</span>"																	
rethink	<u><b>rethink</b></u>:reavaliação. <u><b>to rethink</b></u>:repensar				(3)repensar	(1039)repensar	·reconsiderar,repensar	,·reconsiderar,repensar							reconsider																																												[sound:7001-8000/howjsay/7001-8000-howjsay-rethink.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-rethink.mp3]					(riˈθɪŋk)	ˈriːθɪŋk	"<span class=""luna-pos"">verb</span> riˈθɪŋk; <span class=""luna-pos"">noun</span> ˈriˌθɪŋk"							
regards	<u><b>regards</b></u>:recomendações. <u><b>regards</b></u>:saudações.		"01.  <font color=""#00aaff""><u>(tr)</font></u> to look upon or consider in a specified way."		saudações,(2)lembranças	(527)cumprimentos,(1101)relação,(318)relativamente,(625)considera	cumprimentos,relação,considera								best wishes																													[sound:7001-8000/howjsay/7001-8000-howjsay-regards.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-regards.mp3]					(rɪˈgɑrd)	rɪˈgɑːd,rɪˈɡɑːdz	rɪˈgɑrd																						
references	<u><b>references</b></u>:referências.		"07.  To supply <font color=""#00aaff""><u>(a text)</font></u> with references."		referências	(8774)referências	referências	,referências							remark, citation,testimonial of good character,printed matter with information																													[sound:7001-8000/howjsay/7001-8000-howjsay-references.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-references.mp3]					(ˈrɛf ər əns, ˈrɛf rəns)	ˈrefrənsɪz,ˈrefrəns	ˈrɛf ər əns, ˈrɛf rəns																						
razor	<u><b>razor</b></u>:navalha,gilete,navalha de barba.	1. a piece of equipment with a sharp blade, used for removing hair from the face, legs, etc.			(3)navalha	(466)navalha,(324)lâmina	·navalha,lâmina	·navalha,lâmina	aparelho de barbear,navalha						shaver,cutting instrument																													[sound:7001-8000/howjsay/7001-8000-howjsay-razor.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-razor.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-razor.mp3]				(ˈreɪ zər)	ˈreɪzə	ˈreɪ zər					"<span class=""ipa dipa"">ˈreɪ·zər</span>"																	
